"","VEG_CODE","VEG_TYPE","REGIO","SOIL","TROFIE","ZUURGRAAD","GHG_MIN","GHG_MAX","GLG_MIN","GLG_MAX","MANAGEMENT","INUNDATIE","NAT_SCORE","OPM1","OPM2","OPM3","OPM4"
"1",1,"Sphagno-Betuletum",0,30000,2,1,20,1,38,20,0,0,1,"origineel",NA,NA,NA
"2",1,"Sphagno-Betuletum",0,30000,1,1,20,1,38,20,0,0,1,"origineel",NA,NA,NA
"3",1,"Sphagno-Betuletum",0,30000,2,2,20,1,38,20,0,0,1,"aanvulling zuurgraad",NA,NA,NA
"4",1,"Sphagno-Betuletum",0,30000,1,2,20,1,38,20,0,0,1,"aanvulling zuurgraad",NA,NA,NA
"5",1,"Sphagno-Betuletum",0,80000,2,1,23,-18,36,5,0,0,1,"origineel",NA,NA,NA
"6",1,"Sphagno-Betuletum",0,80000,1,1,23,-18,36,5,0,0,1,"origineel",NA,NA,NA
"7",1,"Sphagno-Betuletum",0,80000,2,2,23,-18,36,5,0,0,1,"aanvulling zuurgraad",NA,NA,NA
"8",1,"Sphagno-Betuletum",0,80000,1,2,23,-18,36,5,0,0,1,"aanvulling zuurgraad",NA,NA,NA
"9",1,"Sphagno-Betuletum",0,130000,2,1,36,-1,77,20,0,0,1,"origineel",NA,NA,NA
"10",1,"Sphagno-Betuletum",0,130000,1,1,36,-1,77,20,0,0,1,"origineel",NA,NA,NA
"11",1,"Sphagno-Betuletum",0,130000,2,2,36,-1,77,20,0,0,1,"aanvulling zuurgraad",NA,NA,NA
"12",1,"Sphagno-Betuletum",0,130000,1,2,36,-1,77,20,0,0,1,"aanvulling zuurgraad",NA,NA,NA
"13",2,"Carici elongatae-Alnetum",0,140000,2,1,46,-6,110,29,0,0,1,"origineel","GHG op basis van Z1",NA,NA
"14",2,"Carici elongatae-Alnetum",0,140000,2,2,46,-6,110,29,0,0,1,"origineel","GHG op basis van Z1",NA,NA
"15",2,"Carici elongatae-Alnetum",0,140000,3,1,46,-6,110,29,0,0,1,"origineel","GHG op basis van Z1",NA,NA
"16",2,"Carici elongatae-Alnetum",0,140000,3,2,46,-6,110,29,0,0,1,"origineel","GHG op basis van Z1",NA,NA
"17",2,"Carici elongatae-Alnetum",0,80000,2,1,18,-24,32,-15,0,0,1,"origineel","nieuwe GXG grenzen na correcties in de databank",NA,NA
"18",2,"Carici elongatae-Alnetum",0,80000,3,1,18,-24,32,-15,0,0,1,"origineel","nieuwe GXG grenzen na correcties in de databank",NA,NA
"19",2,"Carici elongatae-Alnetum",0,80000,2,2,18,-24,32,-15,0,0,1,"aanvulling zuurgraad","nieuwe GXG grenzen na correcties in de databank",NA,NA
"20",2,"Carici elongatae-Alnetum",0,80000,3,2,18,-24,32,-15,0,0,1,"aanvulling zuurgraad","nieuwe GXG grenzen na correcties in de databank",NA,NA
"21",2,"Carici elongatae-Alnetum",0,110000,2,1,46,-6,97,14,0,0,1,"origineel",NA,NA,NA
"22",2,"Carici elongatae-Alnetum",0,110000,3,1,46,-6,97,14,0,0,1,"origineel",NA,NA,NA
"23",2,"Carici elongatae-Alnetum",0,120000,2,1,46,-6,97,14,0,0,1,"interpolatie Z2",NA,NA,NA
"24",2,"Carici elongatae-Alnetum",0,120000,3,1,46,-6,97,14,0,0,1,NA,NA,NA,NA
"25",2,"Carici elongatae-Alnetum",0,130000,2,1,46,-6,97,14,0,0,1,"interpolatie bodemcode, met GXG en zuurgraad van Z1",NA,NA,NA
"26",2,"Carici elongatae-Alnetum",0,130000,3,1,46,-6,97,14,0,0,1,NA,NA,NA,NA
"27",2,"Carici elongatae-Alnetum",0,130000,2,2,46,-6,97,14,0,0,1,NA,NA,NA,NA
"28",2,"Carici elongatae-Alnetum",0,130000,3,2,46,-6,97,14,0,0,1,NA,NA,NA,NA
"29",2,"Carici elongatae-Alnetum",0,150000,2,1,46,-6,110,29,0,0,1,"interpolatie bodemcode, met GXG en zuurgraad van L1",NA,NA,NA
"30",2,"Carici elongatae-Alnetum",0,150000,3,1,46,-6,110,29,0,0,1,NA,NA,NA,NA
"31",2,"Carici elongatae-Alnetum",0,150000,2,2,46,-6,110,29,0,0,1,NA,NA,NA,NA
"32",2,"Carici elongatae-Alnetum",0,150000,3,2,46,-6,110,29,0,0,1,NA,NA,NA,NA
"33",2,"Carici elongatae-Alnetum",0,140000,2,1,46,-6,110,29,0,1,1,"origineel","GHG op basis van Z1",NA,NA
"34",2,"Carici elongatae-Alnetum",0,140000,2,2,46,-6,110,29,0,1,1,"origineel","GHG op basis van Z1",NA,NA
"35",2,"Carici elongatae-Alnetum",0,140000,3,1,46,-6,110,29,0,1,1,"origineel","GHG op basis van Z1",NA,NA
"36",2,"Carici elongatae-Alnetum",0,140000,3,2,46,-6,110,29,0,1,1,"origineel","GHG op basis van Z1",NA,NA
