Regenlens,Mineralenrijkdom,Overstroming,Flux,Zuurgraad,BodemGLGKlasse,Zuurgraad,orig_code
1,1,1,1,3,1,3,10101011
1,1,1,1,2,2,2,10101012
1,1,1,1,1,3,1,10101013
1,1,1,1,3,4,3,10101014
1,1,1,1,2,5,2,10101015
1,1,1,1,1,6,1,10101016
1,1,1,1,3,7,3,10101017
1,1,1,1,2,8,2,10101018
1,1,1,1,1,9,1,10101019
1,1,1,2,1,1,1,10101021
1,1,1,2,1,2,1,10101022
1,1,1,2,1,3,1,10101023
1,1,1,2,1,4,1,10101024
1,1,1,2,1,5,1,10101025
1,1,1,2,1,6,1,10101026
1,1,1,2,1,7,1,10101027
1,1,1,2,1,8,1,10101028
1,1,1,2,1,9,1,10101029
1,1,1,3,1,1,1,10101031
1,1,1,3,1,2,1,10101032
1,1,1,3,1,3,1,10101033
1,1,1,3,1,4,1,10101034
1,1,1,3,1,5,1,10101035
1,1,1,3,1,6,1,10101036
1,1,1,3,1,7,1,10101037
1,1,1,3,1,8,1,10101038
1,1,1,3,1,9,1,10101039
1,1,2,1,3,1,3,10102011
1,1,2,1,3,2,3,10102012
1,1,2,1,3,3,3,10102013
1,1,2,1,3,4,3,10102014
1,1,2,1,3,5,3,10102015
1,1,2,1,3,6,3,10102016
1,1,2,1,3,7,3,10102017
1,1,2,1,3,8,3,10102018
1,1,2,1,3,9,3,10102019
1,1,2,2,3,1,3,10102021
1,1,2,2,3,2,3,10102022
1,1,2,2,3,3,3,10102023
1,1,2,2,3,4,3,10102024
1,1,2,2,3,5,3,10102025
1,1,2,2,3,6,3,10102026
1,1,2,2,3,7,3,10102027
1,1,2,2,3,8,3,10102028
1,1,2,2,3,9,3,10102029
1,1,2,3,1,1,1,10102031
1,1,2,3,1,2,1,10102032
1,1,2,3,1,3,1,10102033
1,1,2,3,1,4,1,10102034
1,1,2,3,1,5,1,10102035
1,1,2,3,1,6,1,10102036
1,1,2,3,1,7,1,10102037
1,1,2,3,1,8,1,10102038
1,1,2,3,1,9,1,10102039
1,2,1,1,3,1,3,10201011
1,2,1,1,2,2,2,10201012
1,2,1,1,1,3,1,10201013
1,2,1,1,3,4,3,10201014
1,2,1,1,2,5,2,10201015
1,2,1,1,1,6,1,10201016
1,2,1,1,3,7,3,10201017
1,2,1,1,2,8,2,10201018
1,2,1,1,1,9,1,10201019
1,2,1,2,3,1,3,10201021
1,2,1,2,2,2,2,10201022
1,2,1,2,1,3,1,10201023
1,2,1,2,3,4,3,10201024
1,2,1,2,2,5,2,10201025
1,2,1,2,1,6,1,10201026
1,2,1,2,3,7,3,10201027
1,2,1,2,2,8,2,10201028
1,2,1,2,1,9,1,10201029
1,2,1,3,3,1,3,10201031
1,2,1,3,2,2,2,10201032
1,2,1,3,1,3,1,10201033
1,2,1,3,3,4,3,10201034
1,2,1,3,2,5,2,10201035
1,2,1,3,1,6,1,10201036
1,2,1,3,3,7,3,10201037
1,2,1,3,2,8,2,10201038
1,2,1,3,1,9,1,10201039
1,2,2,1,3,1,3,10202011
1,2,2,1,3,2,3,10202012
1,2,2,1,3,3,3,10202013
1,2,2,1,3,4,3,10202014
1,2,2,1,3,5,3,10202015
1,2,2,1,3,6,3,10202016
1,2,2,1,3,7,3,10202017
1,2,2,1,3,8,3,10202018
1,2,2,1,3,9,3,10202019
1,2,2,2,3,1,3,10202021
1,2,2,2,3,2,3,10202022
1,2,2,2,3,3,3,10202023
1,2,2,2,3,4,3,10202024
1,2,2,2,3,5,3,10202025
1,2,2,2,3,6,3,10202026
1,2,2,2,3,7,3,10202027
1,2,2,2,3,8,3,10202028
1,2,2,2,3,9,3,10202029
1,2,2,3,3,1,3,10202031
1,2,2,3,3,2,3,10202032
1,2,2,3,3,3,3,10202033
1,2,2,3,3,4,3,10202034
1,2,2,3,3,5,3,10202035
1,2,2,3,3,6,3,10202036
1,2,2,3,3,7,3,10202037
1,2,2,3,3,8,3,10202038
1,2,2,3,3,9,3,10202039
2,1,1,1,1,1,1,20101011
2,1,1,1,1,2,1,20101012
2,1,1,1,1,3,1,20101013
2,1,1,1,1,4,1,20101014
2,1,1,1,1,5,1,20101015
2,1,1,1,1,6,1,20101016
2,1,1,1,1,7,1,20101017
2,1,1,1,1,8,1,20101018
2,1,1,1,1,9,1,20101019
2,1,1,2,1,1,1,20101021
2,1,1,2,1,2,1,20101022
2,1,1,2,1,3,1,20101023
2,1,1,2,1,4,1,20101024
2,1,1,2,1,5,1,20101025
2,1,1,2,1,6,1,20101026
2,1,1,2,1,7,1,20101027
2,1,1,2,1,8,1,20101028
2,1,1,2,1,9,1,20101029
2,1,1,3,1,1,1,20101031
2,1,1,3,1,2,1,20101032
2,1,1,3,1,3,1,20101033
2,1,1,3,1,4,1,20101034
2,1,1,3,1,5,1,20101035
2,1,1,3,1,6,1,20101036
2,1,1,3,1,7,1,20101037
2,1,1,3,1,8,1,20101038
2,1,1,3,1,9,1,20101039
2,1,2,1,3,1,3,20102011
2,1,2,1,3,2,3,20102012
2,1,2,1,3,3,3,20102013
2,1,2,1,3,4,3,20102014
2,1,2,1,3,5,3,20102015
2,1,2,1,3,6,3,20102016
2,1,2,1,3,7,3,20102017
2,1,2,1,3,8,3,20102018
2,1,2,1,3,9,3,20102019
2,1,2,2,3,1,3,20102021
2,1,2,2,3,2,3,20102022
2,1,2,2,3,3,3,20102023
2,1,2,2,3,4,3,20102024
2,1,2,2,3,5,3,20102025
2,1,2,2,3,6,3,20102026
2,1,2,2,3,7,3,20102027
2,1,2,2,3,8,3,20102028
2,1,2,2,3,9,3,20102029
2,1,2,3,1,1,1,20102031
2,1,2,3,1,2,1,20102032
2,1,2,3,1,3,1,20102033
2,1,2,3,1,4,1,20102034
2,1,2,3,1,5,1,20102035
2,1,2,3,1,6,1,20102036
2,1,2,3,1,7,1,20102037
2,1,2,3,1,8,1,20102038
2,1,2,3,1,9,1,20102039
2,2,1,1,1,1,1,20201011
2,2,1,1,1,2,1,20201012
2,2,1,1,1,3,1,20201013
2,2,1,1,1,4,1,20201014
2,2,1,1,1,5,1,20201015
2,2,1,1,1,6,1,20201016
2,2,1,1,1,7,1,20201017
2,2,1,1,1,8,1,20201018
2,2,1,1,1,9,1,20201019
2,2,1,2,1,1,1,20201021
2,2,1,2,1,2,1,20201022
2,2,1,2,1,3,1,20201023
2,2,1,2,1,4,1,20201024
2,2,1,2,1,5,1,20201025
2,2,1,2,1,6,1,20201026
2,2,1,2,1,7,1,20201027
2,2,1,2,1,8,1,20201028
2,2,1,2,1,9,1,20201029
2,2,1,3,1,1,1,20201031
2,2,1,3,1,2,1,20201032
2,2,1,3,1,3,1,20201033
2,2,1,3,1,4,1,20201034
2,2,1,3,1,5,1,20201035
2,2,1,3,1,6,1,20201036
2,2,1,3,1,7,1,20201037
2,2,1,3,1,8,1,20201038
2,2,1,3,1,9,1,20201039
2,2,2,1,3,1,3,20202011
2,2,2,1,3,2,3,20202012
2,2,2,1,3,3,3,20202013
2,2,2,1,3,4,3,20202014
2,2,2,1,3,5,3,20202015
2,2,2,1,3,6,3,20202016
2,2,2,1,3,7,3,20202017
2,2,2,1,3,8,3,20202018
2,2,2,1,3,9,3,20202019
2,2,2,2,3,1,3,20202021
2,2,2,2,3,2,3,20202022
2,2,2,2,3,3,3,20202023
2,2,2,2,3,4,3,20202024
2,2,2,2,3,5,3,20202025
2,2,2,2,3,6,3,20202026
